supplier_id,supplier_name,category,country
1,Constellation Brands,Wine & Spirits,USA
2,Gallo Winery,Wine,USA
3,The Wine Group,Wine,USA
4,Pernod Ricard,Spirits,France
5,Diageo,Spirits,UK
6,Bacardi,Spirits,Bermuda
7,Brown-Forman,Spirits,USA
8,Moët Hennessy,Wine & Spirits,France
9,Kendall-Jackson,Wine,USA
10,Santa Margherita,Wine,Italy
11,Kim Crawford Wines,Wine,New Zealand
12,Whispering Angel,Wine,France
13,La Marca Prosecco,Wine,Italy
14,Jose Cuervo,Spirits,Mexico
15,Patron Spirits,Spirits,Mexico
